State,District,Year,Month,Insolation (in kWh/m²)
Rajasthan,Bhilwara,2024,January,97
Rajasthan,Chittaurgarh,2024,January,104
Rajasthan,Sikar,2024,January,85
Rajasthan,Jaipur,2024,January,83
Rajasthan,Tonk,2024,January,88
Rajasthan,Bundi,2024,January,90
Rajasthan,Kota,2024,January,88
Madhya Pradesh,Mandsaur,2024,January,103
Gujarat,Gandhinagar,2024,January,112
Gujarat,Mahesana,2024,January,112
Gujarat,Ahmadabad,2024,January,111
Gujarat,Kheda,2024,January,111
Gujarat,Bhavnagar,2024,January,111
Gujarat,Bharuch,2024,January,120
Gujarat,Valsad,2024,January,126
Dadra and Nagar Haveli and Daman and Diu,Daman,2024,January,125
Rajasthan,Dungarpur,2024,January,109
Karnataka,Bengaluru (Urban),2024,January,151
Gujarat,Vadodara,2024,January,114
Gujarat,Dangs,2024,January,116
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2024,January,129
Maharashtra,Nashik,2024,January,121
Rajasthan,Banswara,2024,January,106
Madhya Pradesh,Jhabua,2024,January,107
Maharashtra,Dhule,2024,January,118
Madhya Pradesh,Ratlam,2024,January,102
Madhya Pradesh,Ujjain,2024,January,104
Madhya Pradesh,Indore,2024,January,105
Madhya Pradesh,Dhar,2024,January,107
Madhya Pradesh,Khargone,2024,January,112
Maharashtra,Jalgaon,2024,January,116
Rajasthan,Alwar,2024,January,76
Rajasthan,Sawai Madhopur,2024,January,94
Rajasthan,Jhalawar,2024,January,93
Madhya Pradesh,Rajgarh,2024,January,97
Uttar Pradesh,Mathura,2024,January,65
Rajasthan,Bharatpur,2024,January,70
Rajasthan,Dhaulpur,2024,January,75
Madhya Pradesh,Shivpuri,2024,January,96
Madhya Pradesh,Guna,2024,January,96
Uttar Pradesh,Aligarh,2024,January,60
Uttar Pradesh,Etah,2024,January,61
Uttar Pradesh,Agra,2024,January,68
Uttar Pradesh,Firozabad,2024,January,65
Madhya Pradesh,Bhind,2024,January,72
Madhya Pradesh,Morena,2024,January,77
Madhya Pradesh,Gwalior,2024,January,80
Madhya Pradesh,Datia,2024,January,79
Uttar Pradesh,Jhansi,2024,January,82
Madhya Pradesh,Tikamgarh,2024,January,95
Uttar Pradesh,Lalitpur,2024,January,96
Uttar Pradesh,Farrukhabad,2024,January,61
Uttar Pradesh,Mainpuri,2024,January,62
Uttar Pradesh,Shahjahanpur,2024,January,60
Uttar Pradesh,Etawah,2024,January,66
Uttar Pradesh,Jalaun,2024,January,76
Madhya Pradesh,Chhatarpur,2024,January,93
Madhya Pradesh,Shajapur,2024,January,103
Madhya Pradesh,Dewas,2024,January,105
Madhya Pradesh,Khandwa,2024,January,115
Maharashtra,Buldhana,2024,January,115
Madhya Pradesh,Vidisha,2024,January,99
Madhya Pradesh,Raisen,2024,January,102
Madhya Pradesh,Bhopal,2024,January,106
Madhya Pradesh,Sehore,2024,January,106
Madhya Pradesh,Narmadapuram,2024,January,107
Madhya Pradesh,Betul,2024,January,110
Maharashtra,Amravati,2024,January,114
Maharashtra,Akola,2024,January,114
Madhya Pradesh,Sagar,2024,January,94
Madhya Pradesh,Chhindwara,2024,January,109
Maharashtra,Wardha,2024,January,119
Maharashtra,Yavatmal,2024,January,119
Madhya Pradesh,Jabalpur,2024,January,106
Madhya Pradesh,Narsinghpur,2024,January,102
Madhya Pradesh,Seoni,2024,January,112
Maharashtra,Bhandara,2024,January,123
Maharashtra,Nagpur,2024,January,118
Uttar Pradesh,Sitapur,2024,January,59
Uttar Pradesh,Hardoi,2024,January,57
Uttar Pradesh,Lucknow,2024,January,60
Uttar Pradesh,Unnao,2024,January,61
Uttar Pradesh,Kanpur Nagar,2024,January,62
Uttar Pradesh,Hamirpur,2024,January,75
Uttar Pradesh,Fatehpur,2024,January,68
Uttar Pradesh,Banda,2024,January,84
Madhya Pradesh,Panna,2024,January,100
Assam,Hailakandi,2024,January,119
Bihar,Supaul,2024,January,64
Gujarat,Surat,2024,January,124
Tamil Nadu,Sivaganga,2024,January,141
Tamil Nadu,Thoothukudi,2024,January,145
Maharashtra,Hingoli,2024,January,119
Punjab,Shahid Bhagat Singh Nagar,2024,January,71
Himachal Pradesh,Kangra,2024,January,67
Sikkim,Mangan,2024,January,53
Sikkim,Namchi,2024,January,71
Assam,Dhubri,2024,January,91
Mizoram,Saiha,2024,January,116
Tamil Nadu,Nagapattinam,2024,January,140
Kerala,Pathanamthitta,2024,January,154
Maharashtra,Mumbai Suburban,2024,January,129
Meghalaya,Ri-Bhoi,2024,January,103
Meghalaya,South Garo Hills,2024,January,84
Mizoram,Serchhip,2024,January,134
Mizoram,Champhai,2024,January,138
Mizoram,Mamit,2024,January,135
Mizoram,Kolasib,2024,January,130
Punjab,Fatehgarh Sahib,2024,January,68
Madhya Pradesh,Anuppur,2024,January,107
Madhya Pradesh,Ashoknagar,2024,January,95
Uttarakhand,Champawat,2024,January,100
Uttarakhand,Rudraprayag,2024,January,113
Madhya Pradesh,Burhanpur,2024,January,113
Jammu and Kashmir,Muzaffarabad,2024,January,55
Jammu and Kashmir,Baramula,2024,January,74
Jammu and Kashmir,Punch,2024,January,69
Jammu and Kashmir,Mirpur,2024,January,64
Jammu and Kashmir,Riasi,2024,January,66
Jammu and Kashmir,Jammu,2024,January,66
Jammu and Kashmir,Udhampur,2024,January,67
Jammu and Kashmir,Kishtwar,2024,January,64
Jammu and Kashmir,Anantnag,2024,January,79
Jammu and Kashmir,Srinagar,2024,January,80
Ladakh,Leh,2024,January,78
Gujarat,Tapi,2024,January,123
Madhya Pradesh,Alirajpur,2024,January,109
Uttar Pradesh,Sambhal,2024,January,60
Assam,Chirang,2024,January,91
Uttar Pradesh,Amethi,2024,January,53
Madhya Pradesh,Satna,2024,January,94
Uttar Pradesh,Bahraich,2024,January,59
Haryana,Yamunanagar,2024,January,73
Haryana,Kurukshetra,2024,January,69
Haryana,Fatehabad,2024,January,59
Rajasthan,Hanumangarh,2024,January,62
Punjab,Sri Muktsar Sahib,2024,January,60
Punjab,Moga,2024,January,63
Haryana,Panchkula,2024,January,79
Rajasthan,Dausa,2024,January,82
Rajasthan,Karauli,2024,January,91
Rajasthan,Rajsamand,2024,January,106
Gujarat,Banas Kantha,2024,January,111
Gujarat,Patan,2024,January,112
Gujarat,Sabar Kantha,2024,January,112
Madhya Pradesh,Neemuch,2024,January,104
Rajasthan,Baran,2024,January,95
Madhya Pradesh,Sheopur,2024,January,97
Uttar Pradesh,Mahoba,2024,January,87
West Bengal,Alipur Duar,2024,January,81
Haryana,Palwal,2024,January,60
Madhya Pradesh,Damoh,2024,January,102
Punjab,Mansa,2024,January,60
Tripura,Dhalai,2024,January,121
Madhya Pradesh,Katni,2024,January,108
Uttar Pradesh,Kanpur Dehat,2024,January,64
Uttar Pradesh,Kannauj,2024,January,59
Uttar Pradesh,Gonda,2024,January,57
Uttar Pradesh,Bara Banki,2024,January,57
Uttar Pradesh,Rae Bareli,2024,January,60
Uttar Pradesh,Pratapgarh,2024,January,58
Uttar Pradesh,Prayagraj,2024,January,72
Madhya Pradesh,Rewa,2024,January,98
Madhya Pradesh,Sidhi,2024,January,107
Uttar Pradesh,Ayodhya,2024,January,54
Uttar Pradesh,Basti,2024,January,53
Uttar Pradesh,Sultanpur,2024,January,53
Uttar Pradesh,Jaunpur,2024,January,62
Uttar Pradesh,Varanasi,2024,January,74
Uttar Pradesh,Mirzapur,2024,January,80
Uttar Pradesh,Siddharthnagar,2024,January,53
Uttar Pradesh,Gorakhpur,2024,January,53
Uttar Pradesh,Deoria,2024,January,52
Uttar Pradesh,Azamgarh,2024,January,56
Uttar Pradesh,Mau,2024,January,57
Uttar Pradesh,Ghazipur,2024,January,63
Uttar Pradesh,Sonbhadra,2024,January,100
Madhya Pradesh,Mandla,2024,January,104
Madhya Pradesh,Balaghat,2024,January,112
Maharashtra,Gadchiroli,2024,January,135
Madhya Pradesh,Shahdol,2024,January,111
Chhattisgarh,Raipur,2024,January,117
Chhattisgarh,Durg,2024,January,119
Chhattisgarh,Rajnandgaon,2024,January,122
Chhattisgarh,Bilaspur,2024,January,100
Arunachal Pradesh,Tawang,2024,January,69
Assam,Nalbari,2024,January,93
Assam,Barpeta,2024,January,99
Assam,Kamrup Metro,2024,January,102
Meghalaya,East Khasi Hills,2024,January,100
Meghalaya,West Khasi Hills,2024,January,91
West Bengal,Nadia,2024,January,80
West Bengal,Hugli,2024,January,81
West Bengal,Haora,2024,January,83
West Bengal,Kolkata,2024,January,83
West Bengal,South 24Parganas,2024,January,83
Tripura,West Tripura,2024,January,105
Tripura,Gomti,2024,January,110
Arunachal Pradesh,West Siang,2024,January,87
Arunachal Pradesh,Upper Subansiri,2024,January,72
Arunachal Pradesh,Dibang Valley,2024,January,78
Arunachal Pradesh,East Siang,2024,January,88
Arunachal Pradesh,West Kameng,2024,January,61
Assam,Sonitpur,2024,January,94
Assam,Marigaon,2024,January,99
Assam,Bongaigaon,2024,January,92
Assam,Darang,2024,January,94
Assam,Nagaon,2024,January,98
Meghalaya,West Jaintia Hills,2024,January,100
Assam,Karimganj,2024,January,111
Assam,Cachar,2024,January,121
Tripura,Unakoti,2024,January,115
Arunachal Pradesh,East Kameng,2024,January,74
Arunachal Pradesh,Papumpare,2024,January,81
Assam,Golaghat,2024,January,104
Assam,Karbi Anglong,2024,January,117
Assam,Dima Hasao,2024,January,122
Manipur,Tamenglong,2024,January,123
Manipur,Imphal East,2024,January,126
Manipur,Bishnupur,2024,January,128
Manipur,Churachandpur,2024,January,133
Manipur,Chandel,2024,January,129
Assam,Dibrugarh,2024,January,99
Assam,Lakhimpur,2024,January,89
Assam,Sibsagar,2024,January,103
Assam,Jorhat,2024,January,103
Nagaland,Mokokchung,2024,January,110
Nagaland,Tuensang,2024,January,103
Nagaland,Wokha,2024,January,126
Nagaland,Zunheboto,2024,January,118
Nagaland,Phek,2024,January,123
Nagaland,Kohima,2024,January,124
Manipur,Senapati,2024,January,126
Manipur,Ukhrul,2024,January,118
Manipur,Thoubal,2024,January,126
Arunachal Pradesh,Tirap,2024,January,111
Nagaland,Mon,2024,January,111
Mizoram,Aizawl,2024,January,130
Mizoram,Lunglei,2024,January,122
Arunachal Pradesh,Lohit,2024,January,100
Maharashtra,Thane,2024,January,130
Maharashtra,Mumbai,2024,January,129
Maharashtra,Raigarh,2024,January,130
Maharashtra,Pune,2024,January,121
Maharashtra,Ratnagiri,2024,January,134
Maharashtra,Sindhudurg,2024,January,142
Maharashtra,Ahmednagar,2024,January,117
Maharashtra,Satara,2024,January,122
Maharashtra,Sangli,2024,January,129
Maharashtra,Kolhapur,2024,January,136
Maharashtra,Chhatrapati Sambhajinagar,2024,January,115
Maharashtra,Jalna,2024,January,117
Maharashtra,Beed,2024,January,120
Maharashtra,Solapur,2024,January,123
Karnataka,Vijayapura,2024,January,130
Goa,North Goa,2024,January,145
Karnataka,Belagavi,2024,January,145
Karnataka,Uttara Kannada,2024,January,147
Karnataka,Dakshina Kannada,2024,January,146
Kerala,Kasaragod,2024,January,141
Karnataka,Dharwad,2024,January,147
Karnataka,Shivamogga,2024,January,156
Karnataka,Chikkamagaluru,2024,January,152
Karnataka,Kodagu,2024,January,148
Lakshadweep,Lakshadweep,2024,January,134
Kerala,Kannur,2024,January,143
Kerala,Kozhikode,2024,January,147
Maharashtra,Parbhani,2024,January,120
Maharashtra,Latur,2024,January,123
Maharashtra,Dharashiv,2024,January,120
Karnataka,Kalaburagi,2024,January,128
Maharashtra,Nanded,2024,January,122
Karnataka,Bidar,2024,January,134
Telangana,Mahabubnagar,2024,January,137
Karnataka,Raichur,2024,January,138
Telangana,Adilabad,2024,January,126
Telangana,Nizamabad,2024,January,129
Telangana,Sangareddy,2024,January,136
Telangana,Hyderabad,2024,January,131
Maharashtra,Chandrapur,2024,January,130
Telangana,Karimnagar,2024,January,126
Telangana,Hanumakonda,2024,January,126
Telangana,Nalgonda,2024,January,123
Karnataka,Ballari,2024,January,142
Karnataka,Chitradurga,2024,January,153
Karnataka,Hassan,2024,January,151
Karnataka,Mandya,2024,January,147
Karnataka,Mysuru,2024,January,144
Andhra Pradesh,Ananthapuramu,2024,January,146
Karnataka,Tumakuru,2024,January,153
Karnataka,Bengaluru (Urban),2024,January,151
Andhra Pradesh,Kurnool,2024,January,136
Andhra Pradesh,Ysr Kadapa,2024,January,143
Karnataka,Kolara,2024,January,149
Tamil Nadu,Dharmapuri,2024,January,143
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,January,139
Andhra Pradesh,Chittoor,2024,January,138
Tamil Nadu,Vellore,2024,January,138
Tamil Nadu,Kanchipuram,2024,January,137
Kerala,Wayanad,2024,January,151
Tamil Nadu,The Nilgiris,2024,January,149
Kerala,Malappuram,2024,January,148
Tamil Nadu,Coimbatore,2024,January,147
Kerala,Palakkad,2024,January,157
Kerala,Thrissur,2024,January,156
Kerala,Ernakulam,2024,January,155
Kerala,Kottayam,2024,January,152
Kerala,Alappuzha,2024,January,153
Kerala,Idukki,2024,January,158
Kerala,Thiruvananthapuram,2024,January,147
Kerala,Kollam,2024,January,151
Tamil Nadu,Erode,2024,January,145
Tamil Nadu,Virudhunagar,2024,January,141
Tamil Nadu,Tirunelveli,2024,January,136
Tamil Nadu,Kanniyakumari,2024,January,144
Tamil Nadu,Salem,2024,January,140
Tamil Nadu,Tiruchirappalli,2024,January,135
Tamil Nadu,Pudukkottai,2024,January,136
Tamil Nadu,Madurai,2024,January,141
Tamil Nadu,Ramanathapuram,2024,January,147
Puducherry,Puducherry,2024,January,140
Tamil Nadu,Cuddalore,2024,January,140
Puducherry,Karaikal,2024,January,140
Tamil Nadu,Thanjavur,2024,January,139
Telangana,Khammam,2024,January,119
Andhra Pradesh,Guntur,2024,January,125
Andhra Pradesh,Krishna,2024,January,129
Andhra Pradesh,Eluru,2024,January,116
Chhattisgarh,Bastar,2024,January,145
Odisha,Koraput,2024,January,131
Andhra Pradesh,Kakinada,2024,January,123
Puducherry,Yanam,2024,January,127
Odisha,Kalahandi,2024,January,135
Andhra Pradesh,Srikakulam,2024,January,118
Andhra Pradesh,Vizianagaram,2024,January,119
Andhra Pradesh,Visakhapatnam,2024,January,120
Andhra Pradesh,Prakasam,2024,January,132
Tamil Nadu,Chennai,2024,January,135
Andaman and Nicobar Islands,South andamans,2024,January,148
Uttar Pradesh,Kheri,2024,January,60
Uttar Pradesh,Ambedkar Nagar,2024,January,52
Uttar Pradesh,Sant Kabir Nagar,2024,January,52
Uttar Pradesh,Kaushambi,2024,January,71
Uttar Pradesh,Chitrakoot,2024,January,86
Uttar Pradesh,Kushinagar,2024,January,54
Bihar,Kaimur,2024,January,82
Uttar Pradesh,Chandauli,2024,January,74
Jharkhand,Garhwa,2024,January,113
Uttar Pradesh,Bhadohi,2024,January,70
Jharkhand,Chatra,2024,January,107
Gujarat,Narmada,2024,January,117
Maharashtra,Nandurbar,2024,January,118
Madhya Pradesh,Barwani,2024,January,111
Gujarat,Panch Mahals,2024,January,114
Gujarat,Dahod,2024,January,110
Gujarat,Anand,2024,January,114
Gujarat,Navsari,2024,January,126
Maharashtra,Washim,2024,January,118
Maharashtra,Gondia,2024,January,118
Madhya Pradesh,Harda,2024,January,112
Madhya Pradesh,Umaria,2024,January,112
Chhattisgarh,Korea,2024,January,115
Chhattisgarh,Kawardha (Kabirdham),2024,January,100
Chhattisgarh,Janjgir - Champa,2024,January,100
Jharkhand,Simdega,2024,January,106
Chhattisgarh,Jashpur,2024,January,111
Chhattisgarh,Mahasamund,2024,January,120
Odisha,Nuaparha,2024,January,126
Madhya Pradesh,Dindori,2024,January,108
Chhattisgarh,Korba,2024,January,102
Uttar Pradesh,Hathras,2024,January,65
Odisha,Bargarh,2024,January,108
Chhattisgarh,Uttar Bastar Kanker,2024,January,135
Chhattisgarh,Dhamtari,2024,January,131
Odisha,Nabarangapur,2024,January,137
Chhattisgarh,Dakshin Bastar Dantewara,2024,January,143
Bihar,Buxar,2024,January,64
Bihar,Sheohar,2024,January,63
Jharkhand,Koderma,2024,January,95
Bihar,Jamui,2024,January,85
Jharkhand,Saraikela-Kharsawan,2024,January,95
Bihar,Kishanganj,2024,January,61
West Bengal,Uttar Dinajpur,2024,January,66
Bihar,Araria,2024,January,63
Uttar Pradesh,Gautam Buddha Nagar,2024,January,65
Bihar,Banka,2024,January,80
Jharkhand,Pakur,2024,January,73
Bihar,Lakhisarai,2024,January,76
Bihar,Sheikhpura,2024,January,75
West Bengal,Purba Medinipur,2024,January,83
West Bengal,North Twenty-Four Parganas,2024,January,82
Jharkhand,West Singhbhum,2024,January,98
Odisha,Nayagarh,2024,January,99
Odisha,Boudh,2024,January,112
Odisha,Boudh,2024,January,107
Odisha,Deogarh,2024,January,101
Odisha,Jajapur,2024,January,93
Odisha,Bhadrak,2024,January,91
Odisha,Jagatsinghpur,2024,January,98
Odisha,Kendrapara,2024,January,96
Odisha,Anugul,2024,January,96
Odisha,Malkangiri,2024,January,137
Odisha,Rayagarha,2024,January,122
Odisha,Gajapati,2024,January,116
Odisha,Jharsuguda,2024,January,103
Jharkhand,Jamtara,2024,January,83
Bihar,Vaishali,2024,January,70
Bihar,Samastipur,2024,January,67
Jharkhand,Latehar,2024,January,113
Karnataka,Bagalkot,2024,January,136
Goa,South Goa,2024,January,150
Tamil Nadu,Thiruvallur,2024,January,138
Karnataka,Udupi,2024,January,146
Bihar,Patna,2024,January,67
Haryana,Jhajjar,2024,January,62
Uttar Pradesh,Baghpat,2024,January,59
Haryana,Panipat,2024,January,60
Uttar Pradesh,Auraiya,2024,January,67
Uttar Pradesh,Shrawasti,2024,January,57
Uttar Pradesh,Balrampur,2024,January,58
Uttar Pradesh,Mahrajganj,2024,January,51
Arunachal Pradesh,Lower Dibang Valley,2024,January,91
Arunachal Pradesh,Anjaw,2024,January,96
Arunachal Pradesh,Kurung Kumey,2024,January,65
Telangana,Hyderabad,2024,January,131
Jammu and Kashmir,Kathua,2024,January,68
Karnataka,Haveri,2024,January,152
Karnataka,Davanagere,2024,January,153
Tamil Nadu,Tiruvannamalai,2024,January,134
Karnataka,Chamarajanagara,2024,January,143
Tamil Nadu,Namakkal,2024,January,140
Tamil Nadu,Karur,2024,January,142
Tamil Nadu,Viluppuram,2024,January,139
Tamil Nadu,Perambalur,2024,January,134
Tamil Nadu,Ariyalur,2024,January,138
Tamil Nadu,Theni,2024,January,150
Tamil Nadu,Dindigul,2024,January,143
Arunachal Pradesh,Upper Siang,2024,January,69
Arunachal Pradesh,Changlang,2024,January,97
Assam,Tinsukia,2024,January,102
Assam,Dhemaji,2024,January,92
Arunachal Pradesh,Lower Subansiri,2024,January,75
Chhattisgarh,Surajpur,2024,January,114
Jharkhand,Khunti,2024,January,104
Chhattisgarh,Mungeli,2024,January,101
Chhattisgarh,Bemetara,2024,January,104
Chhattisgarh,Baloda Bazar,2024,January,104
Uttar Pradesh,Shamli,2024,January,59
Punjab,Fazilka,2024,January,54
Punjab,Barnala,2024,January,64
Punjab,Tarn Taran,2024,January,68
Uttar Pradesh,Hapur,2024,January,58
Uttar Pradesh,Kasganj,2024,January,62
Madhya Pradesh,Agar Malwa,2024,January,100
Rajasthan,Pratapgarh,2024,January,102
Gujarat,Morbi,2024,January,119
Gujarat,Botad,2024,January,111
Gujarat,Chhotaudepur,2024,January,115
Maharashtra,Palghar,2024,January,129
Gujarat,Devbhumi Dwarka,2024,January,119
Jharkhand,Ramgarh,2024,January,102
Chhattisgarh,Balrampur,2024,January,118
Chhattisgarh,Gariyaband,2024,January,132
Chhattisgarh,Balod,2024,January,130
Chhattisgarh,Narayanpur,2024,January,141
Chhattisgarh,Bijapur,2024,January,140
Chhattisgarh,Sukma,2024,January,139
Chhattisgarh,Kondagaon,2024,January,142
Karnataka,Ramanagara,2024,January,149
Tamil Nadu,Tiruppur,2024,January,146
Tamil Nadu,Krishnagiri,2024,January,144
Mizoram,Lawngtlai,2024,January,134
Manipur,Imphal West,2024,January,125
Nagaland,Peren,2024,January,124
Nagaland,Dimapur,2024,January,121
Nagaland,Kiphire,2024,January,115
Assam,Udalguri,2024,January,87
Chhattisgarh,Surguja,2024,January,114
Chhattisgarh,Raigarh,2024,January,101
Odisha,Sambalpur,2024,January,109
Odisha,Balangir,2024,January,118
Bihar,Pashchimi Champaran,2024,January,56
Bihar,Purbi Champaran,2024,January,56
Bihar,Gopalganj,2024,January,57
Bihar,Siwan,2024,January,56
Uttar Pradesh,Ballia,2024,January,56
Bihar,Saran,2024,January,62
Bihar,Bhojpur,2024,January,63
Bihar,Jahanabad,2024,January,72
Bihar,Rohtas,2024,January,87
Bihar,Aurangabad,2024,January,92
Jharkhand,Palamu,2024,January,118
Bihar,Sitamarhi,2024,January,60
Bihar,Darbhanga,2024,January,68
Bihar,Muzaffarpur,2024,January,63
Bihar,Nalanda,2024,January,75
Bihar,Nawada,2024,January,84
Bihar,Gaya,2024,January,85
Bihar,Madhubani,2024,January,64
Bihar,Madhepura,2024,January,64
Bihar,Saharsa,2024,January,67
Bihar,Khagaria,2024,January,74
Bihar,Begusarai,2024,January,77
Bihar,Munger,2024,January,76
Bihar,Bhagalpur,2024,January,73
Jharkhand,Deoghar,2024,January,84
Jharkhand,Giridih,2024,January,88
Bihar,Purnia,2024,January,70
Bihar,Katihar,2024,January,73
Jharkhand,Sahibganj,2024,January,75
Jharkhand,Godda,2024,January,75
Jharkhand,Dumka,2024,January,79
Jharkhand,Lohardaga,2024,January,111
Jharkhand,Gumla,2024,January,111
Odisha,Sundargarh,2024,January,104
Odisha,Kandhamal,2024,January,113
Jharkhand,Hazaribagh,2024,January,105
Jharkhand,Ranchi,2024,January,104
Odisha,Keonjhar (Kendujhar),2024,January,98
Odisha,Dhenkanal,2024,January,98
Odisha,Cuttack,2024,January,97
Odisha,Khordha,2024,January,99
Jharkhand,Dhanbad,2024,January,89
West Bengal,Puruliya,2024,January,90
Jharkhand,East Singhbhum,2024,January,90
Odisha,Mayurbhanj,2024,January,88
Odisha,Balasore,2024,January,87
West Bengal,Birbhum,2024,January,80
West Bengal,Bankura,2024,January,82
West Bengal,Purba Barddhaman,2024,January,79
West Bengal,Paschim Medinipur,2024,January,81
Odisha,Ganjam,2024,January,107
Sikkim,Gangtok,2024,January,65
West Bengal,Darjiling,2024,January,74
West Bengal,Jalpaiguri,2024,January,74
West Bengal,Dakshin Dinajpur,2024,January,72
West Bengal,Maldah,2024,January,73
West Bengal,Murshidabad,2024,January,77
West Bengal,Koch Bihar,2024,January,81
Assam,Kokrajhar,2024,January,91
Assam,Goalpara,2024,January,98
Meghalaya,East Garo Hills,2024,January,89
Meghalaya,West Garo Hills,2024,January,88
Arunachal Pradesh,Shi Yomi,2024,January,64
Arunachal Pradesh,Lepa Rada,2024,January,81
Arunachal Pradesh,Namsai,2024,January,103
Arunachal Pradesh,Kra Daadi,2024,January,79
Arunachal Pradesh,Kra Daadi,2024,January,76
Arunachal Pradesh,Longding,2024,January,120
Arunachal Pradesh,Siang,2024,January,79
Haryana,Nuh,2024,January,54
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,January,106
Jammu and Kashmir,Rajauri,2024,January,67
Jammu and Kashmir,Doda,2024,January,60
Jammu and Kashmir,Samba,2024,January,66
Jammu and Kashmir,Ramban,2024,January,55
Jammu and Kashmir,Shupiyan,2024,January,81
Jammu and Kashmir,Kulgam,2024,January,81
Jammu and Kashmir,Pulwama,2024,January,82
Jammu and Kashmir,Badgam,2024,January,84
Jammu and Kashmir,Bandipura,2024,January,66
Jammu and Kashmir,Kupwara,2024,January,74
Jammu and Kashmir,Ganderbal,2024,January,74
Punjab,Gurdaspur,2024,January,69
Punjab,Amritsar,2024,January,63
Punjab,Hoshiarpur,2024,January,72
Himachal Pradesh,Chamba,2024,January,77
Himachal Pradesh,Lahul & Spiti,2024,January,82
Himachal Pradesh,Mandi,2024,January,91
Himachal Pradesh,Hamirpur,2024,January,88
Himachal Pradesh,Una,2024,January,79
Himachal Pradesh,Kullu,2024,January,86
Himachal Pradesh,Kinnaur,2024,January,90
Himachal Pradesh,Kangra,2024,January,67
Jammu and Kashmir,Muzaffarabad,2024,January,55
Jammu and Kashmir,Baramula,2024,January,74
Jammu and Kashmir,Punch,2024,January,69
Jammu and Kashmir,Mirpur,2024,January,64
